slice,mean,std,skewness,kurtosis,energy,entropy,center_ratio,lr_asymmetry,tb_asymmetry,angular_uniformity
1,38766.72394687271,16825962.727054376,511.97917552371024,262126.77551863666,7.421677392392592e+19,31.37674595822179,0.9999999997057921,1.9807580668372404,1.9369159564723535,-4.915994971726921
2,39814.166089878854,16830900.77030099,511.98102847095294,262128.04310283205,7.426036358382613e+19,31.22797975581657,0.999999999590658,1.9829962870330717,1.938649329836613,-4.915996993965677
3,40818.06747064266,16841157.67002158,511.9783329511887,262126.20318277887,7.435092171978414e+19,31.70535163701109,0.9999999995563483,1.9834997292244125,1.9423200049489595,-4.915980334585127
4,42458.85554996038,16843690.62087823,511.9784019477691,262126.2517746826,7.437332420657832e+19,31.63938198075749,0.9999999993964821,1.9796452121545987,1.9430206131745082,-4.91597858612785
5,43876.54459071427,16857940.568446074,511.97359915429183,262122.97142233155,7.449925002472323e+19,32.43344960569247,0.9999999991267243,1.9787448799429426,1.9430694006860394,-4.915953897682106
6,45712.345842912575,16863723.85447893,511.96947977946496,262120.1586492948,7.455041699412286e+19,31.527450809395372,0.9999999986930547,1.973840085878543,1.9311576667528199,-4.915930268752678
7,47224.05834019533,16872439.504586115,511.96493990579165,262117.05854103895,7.462753270434472e+19,32.54583414782975,0.9999999981420484,1.9749523212406042,1.9371516639359934,-4.9159042958633865
8,47952.4394679651,16871716.371729996,511.96539510176785,262117.36977730837,7.462115416855097e+19,32.17223444229437,0.9999999976739281,1.9698226999028006,1.9405581915306565,-4.915904070180734
9,49590.15730247638,16879554.735034972,511.96313047646265,262115.82325493285,7.469054747914874e+19,31.851460704509336,0.9999999969515452,1.9584162582339946,1.935875991606861,-4.915886991258117
10,49518.13742826265,16870610.403150942,511.968179035276,262119.27159606386,7.46114114966885e+19,32.668768840316716,0.9999999971004837,1.9456556531840963,1.9288710818039891,-4.915916273878854
11,49473.694405085305,16873487.23170948,511.96689242655873,262118.39299573656,7.463685823007323e+19,32.27831240697807,0.999999997295548,1.9509156149224443,1.9335161119371578,-4.9159078778391
12,49674.108878522886,16866409.15803107,511.96944148767614,262120.1342603966,7.457425992009831e+19,29.9929721343864,0.9999999971820939,1.9496264053572265,1.9255769213699405,-4.915919951852922
13,48980.684681304774,16871660.37797324,511.9662947812482,262117.98503535602,7.46206849970062e+19,31.922666523125663,0.9999999975998719,1.9674152893924473,1.9398153872566453,-4.915906121992186
14,48267.94299051432,16867949.658825293,511.96653145829276,262118.1462920707,7.458784686558018e+19,31.661186985295316,0.9999999977202938,1.9750643170223239,1.9390947754092156,-4.915911468548318
15,48885.77823262185,16873248.049301524,511.9609211649802,262114.314419278,7.46347271428692e+19,31.223466690085612,0.9999999978268308,1.9689519848571757,1.939523876044097,-4.915882452980237
16,47199.7286017519,16867906.178626083,511.96236135130954,262115.2974625787,7.458743560839161e+19,31.416650613554975,0.9999999984602683,1.9795270278643944,1.9481800109501552,-4.915889888674647
17,46253.22041153512,16867856.975185398,511.96133554704335,262114.5965965172,7.458697728379034e+19,32.13878094817146,0.9999999989511431,1.9793673093972988,1.9497071516557984,-4.915887390626553
18,44242.7477904386,16855499.516941287,511.96959293789786,262120.2362507666,7.447768501750071e+19,31.353088536590985,0.9999999992894232,1.982196406704036,1.9451506621970958,-4.915930657028416
19,43130.033816985,16852570.53309927,511.970435935041,262120.8112406913,7.445177795160387e+19,31.238175548297967,0.9999999994779846,1.984252643850857,1.9461575091724725,-4.915935040475297
20,41669.36878157946,16840208.652509637,511.97607131967055,262124.65982751138,7.434256090303173e+19,31.4321994245726,0.9999999995994181,1.9843219474964366,1.9451141189052912,-4.915965664238669
21,40803.457534962574,16833847.891751554,511.9758436287544,262124.50297717875,7.428639287273716e+19,31.46313126995019,0.9999999996629505,1.9832254222480452,1.942255776174171,-4.915964287772468
22,39647.23442071933,16816684.92188088,511.98207762813286,262128.76115857277,7.41349690350012e+19,30.65319067720981,0.9999999997166846,1.9798944123553026,1.9369321005075792,-4.916000649566104
